x_m,z_m,gamma_deg,time_s,theta_min_alpha10_deg,theta_max_alpha10_deg,theta_min_alpha15_deg,theta_max_alpha15_deg
0.0000,0.0000,32.0000,0.0000,22.0000,42.0000,17.0000,47.0000
0.1000,0.0622,31.7935,0.0071,21.7935,41.7935,16.7935,46.7935
0.2000,0.1240,31.5862,0.0143,21.5862,41.5862,16.5862,46.5862
0.3000,0.1852,31.3779,0.0214,21.3779,41.3779,16.3779,46.3779
0.4000,0.2459,31.1686,0.0286,21.1686,41.1686,16.1686,46.1686
0.5000,0.3062,30.9585,0.0357,20.9585,40.9585,15.9585,45.9585
0.6000,0.3659,30.7474,0.0428,20.7474,40.7474,15.7474,45.7474
0.7000,0.4252,30.5354,0.0500,20.5354,40.5354,15.5354,45.5354
0.8000,0.4839,30.3224,0.0571,20.3224,40.3224,15.3224,45.3224
0.9000,0.5421,30.1085,0.0643,20.1085,40.1085,15.1085,45.1085
1.0000,0.5999,29.8937,0.0714,19.8937,39.8937,14.8937,44.8937
1.1000,0.6571,29.6780,0.0785,19.6780,39.6780,14.6780,44.6780
1.2000,0.7139,29.4613,0.0857,19.4613,39.4613,14.4613,44.4613
1.3000,0.7701,29.2437,0.0928,19.2437,39.2437,14.2437,44.2437
1.4000,0.8258,29.0252,0.1000,19.0252,39.0252,14.0252,44.0252
1.5000,0.8811,28.8057,0.1071,18.8057,38.8057,13.8057,43.8057
1.6000,0.9358,28.5854,0.1142,18.5854,38.5854,13.5854,43.5854
1.7000,0.9900,28.3640,0.1214,18.3640,38.3640,13.3640,43.3640
1.8000,1.0438,28.1418,0.1285,18.1418,38.1418,13.1418,43.1418
1.9000,1.0970,27.9186,0.1357,17.9186,37.9186,12.9186,42.9186
2.0000,1.1498,27.6945,0.1428,17.6945,37.6945,12.6945,42.6945
2.1000,1.2020,27.4695,0.1499,17.4695,37.4695,12.4695,42.4695
2.2000,1.2537,27.2436,0.1571,17.2436,37.2436,12.2436,42.2436
2.3000,1.3050,27.0167,0.1642,17.0167,37.0167,12.0167,42.0167
2.4000,1.3557,26.7890,0.1714,16.7890,36.7890,11.7890,41.7890
2.5000,1.4060,26.5603,0.1785,16.5603,36.5603,11.5603,41.5603
2.6000,1.4557,26.3306,0.1856,16.3306,36.3306,11.3306,41.3306
2.7000,1.5049,26.1001,0.1928,16.1001,36.1001,11.1001,41.1001
2.8000,1.5537,25.8687,0.1999,15.8687,35.8687,10.8687,40.8687
2.9000,1.6019,25.6363,0.2071,15.6363,35.6363,10.6363,40.6363
3.0000,1.6497,25.4031,0.2142,15.4031,35.4031,10.4031,40.4031
3.1000,1.6969,25.1689,0.2213,15.1689,35.1689,10.1689,40.1689
3.2000,1.7436,24.9338,0.2285,14.9338,34.9338,9.9338,39.9338
3.3000,1.7899,24.6979,0.2356,14.6979,34.6979,9.6979,39.6979
3.4000,1.8356,24.4610,0.2427,14.4610,34.4610,9.4610,39.4610
3.5000,1.8809,24.2233,0.2499,14.2233,34.2233,9.2233,39.2233
3.6000,1.9256,23.9846,0.2570,13.9846,33.9846,8.9846,38.9846
3.7000,1.9698,23.7451,0.2642,13.7451,33.7451,8.7451,38.7451
3.8000,2.0136,23.5047,0.2713,13.5047,33.5047,8.5047,38.5047
3.9000,2.0568,23.2634,0.2784,13.2634,33.2634,8.2634,38.2634
4.0000,2.0996,23.0212,0.2856,13.0212,33.0212,8.0212,38.0212
4.1000,2.1418,22.7781,0.2927,12.7781,32.7781,7.7781,37.7781
4.2000,2.1835,22.5342,0.2999,12.5342,32.5342,7.5342,37.5342
4.3000,2.2248,22.2894,0.3070,12.2894,32.2894,7.2894,37.2894
4.4000,2.2655,22.0438,0.3141,12.0438,32.0438,7.0438,37.0438
4.5000,2.3058,21.7973,0.3213,11.7973,31.7973,6.7973,36.7973
4.6000,2.3455,21.5499,0.3284,11.5499,31.5499,6.5499,36.5499
4.7000,2.3848,21.3017,0.3356,11.3017,31.3017,6.3017,36.3017
4.8000,2.4235,21.0527,0.3427,11.0527,31.0527,6.0527,36.0527
4.9000,2.4617,20.8028,0.3498,10.8028,30.8028,5.8028,35.8028
5.0000,2.4995,20.5521,0.3570,10.5521,30.5521,5.5521,35.5521
5.1000,2.5367,20.3006,0.3641,10.3006,30.3006,5.3006,35.3006
5.2000,2.5735,20.0482,0.3713,10.0482,30.0482,5.0482,35.0482
5.3000,2.6097,19.7951,0.3784,9.7951,29.7951,4.7951,34.7951
5.4000,2.6454,19.5411,0.3855,9.5411,29.5411,4.5411,34.5411
5.5000,2.6807,19.2863,0.3927,9.2863,29.2863,4.2863,34.2863
5.6000,2.7154,19.0307,0.3998,9.0307,29.0307,4.0307,34.0307
5.7000,2.7497,18.7744,0.4070,8.7744,28.7744,3.7744,33.7744
5.8000,2.7834,18.5172,0.4141,8.5172,28.5172,3.5172,33.5172
5.9000,2.8167,18.2593,0.4212,8.2593,28.2593,3.2593,33.2593
6.0000,2.8494,18.0006,0.4284,8.0006,28.0006,3.0006,33.0006
6.1000,2.8816,17.7412,0.4355,7.7412,27.7412,2.7412,32.7412
6.2000,2.9134,17.4810,0.4427,7.4810,27.4810,2.4810,32.4810
6.3000,2.9446,17.2200,0.4498,7.2200,27.2200,2.2200,32.2200
6.4000,2.9754,16.9584,0.4569,6.9584,26.9584,1.9584,31.9584
6.5000,3.0056,16.6959,0.4641,6.6959,26.6959,1.6959,31.6959
6.6000,3.0354,16.4328,0.4712,6.4328,26.4328,1.4328,31.4328
6.7000,3.0646,16.1690,0.4784,6.1690,26.1690,1.1690,31.1690
6.8000,3.0934,15.9044,0.4855,5.9044,25.9044,0.9044,30.9044
6.9000,3.1216,15.6391,0.4926,5.6391,25.6391,0.6391,30.6391
7.0000,3.1493,15.3732,0.4998,5.3732,25.3732,0.3732,30.3732
7.1000,3.1766,15.1066,0.5069,5.1066,25.1066,0.1066,30.1066
7.2000,3.2033,14.8393,0.5141,4.8393,24.8393,-0.1607,29.8393
7.3000,3.2296,14.5713,0.5212,4.5713,24.5713,-0.4287,29.5713
7.4000,3.2553,14.3027,0.5283,4.3027,24.3027,-0.6973,29.3027
7.5000,3.2806,14.0334,0.5355,4.0334,24.0334,-0.9666,29.0334
7.6000,3.3053,13.7635,0.5426,3.7635,23.7635,-1.2365,28.7635
7.7000,3.3296,13.4930,0.5498,3.4930,23.4930,-1.5070,28.4930
7.8000,3.3533,13.2219,0.5569,3.2219,23.2219,-1.7781,28.2219
7.9000,3.3765,12.9501,0.5640,2.9501,22.9501,-2.0499,27.9501
8.0000,3.3993,12.6778,0.5712,2.6778,22.6778,-2.3222,27.6778
8.1000,3.4215,12.4049,0.5783,2.4049,22.4049,-2.5951,27.4049
8.2000,3.4433,12.1314,0.5855,2.1314,22.1314,-2.8686,27.1314
8.3000,3.4645,11.8574,0.5926,1.8574,21.8574,-3.1426,26.8574
8.4000,3.4853,11.5828,0.5997,1.5828,21.5828,-3.4172,26.5828
8.5000,3.5055,11.3076,0.6069,1.3076,21.3076,-3.6924,26.3076
8.6000,3.5253,11.0320,0.6140,1.0320,21.0320,-3.9680,26.0320
8.7000,3.5445,10.7558,0.6212,0.7558,20.7558,-4.2442,25.7558
8.8000,3.5633,10.4791,0.6283,0.4791,20.4791,-4.5209,25.4791
8.9000,3.5815,10.2019,0.6354,0.2019,20.2019,-4.7981,25.2019
9.0000,3.5992,9.9242,0.6426,-0.0758,19.9242,-5.0758,24.9242
9.1000,3.6165,9.6461,0.6497,-0.3539,19.6461,-5.3539,24.6461
9.2000,3.6332,9.3675,0.6569,-0.6325,19.3675,-5.6325,24.3675
9.3000,3.6495,9.0884,0.6640,-0.9116,19.0884,-5.9116,24.0884
9.4000,3.6652,8.8089,0.6711,-1.1911,18.8089,-6.1911,23.8089
9.5000,3.6805,8.5290,0.6783,-1.4710,18.5290,-6.4710,23.5290
9.6000,3.6952,8.2487,0.6854,-1.7513,18.2487,-6.7513,23.2487
9.7000,3.7095,7.9680,0.6925,-2.0320,17.9680,-7.0320,22.9680
9.8000,3.7232,7.6869,0.6997,-2.3131,17.6869,-7.3131,22.6869
9.9000,3.7365,7.4054,0.7068,-2.5946,17.4054,-7.5946,22.4054
10.0000,3.7492,7.1235,0.7140,-2.8765,17.1235,-7.8765,22.1235
10.1000,3.7615,6.8414,0.7211,-3.1586,16.8414,-8.1586,21.8414
10.2000,3.7732,6.5588,0.7282,-3.4412,16.5588,-8.4412,21.5588
10.3000,3.7845,6.2760,0.7354,-3.7240,16.2760,-8.7240,21.2760
10.4000,3.7952,5.9928,0.7425,-4.0072,15.9928,-9.0072,20.9928
10.5000,3.8055,5.7094,0.7497,-4.2906,15.7094,-9.2906,20.7094
10.6000,3.8152,5.4257,0.7568,-4.5743,15.4257,-9.5743,20.4257
10.7000,3.8245,5.1417,0.7639,-4.8583,15.1417,-9.8583,20.1417
10.8000,3.8332,4.8575,0.7711,-5.1425,14.8575,-10.1425,19.8575
10.9000,3.8414,4.5730,0.7782,-5.4270,14.5730,-10.4270,19.5730
11.0000,3.8492,4.2883,0.7854,-5.7117,14.2883,-10.7117,19.2883
11.1000,3.8564,4.0033,0.7925,-5.9967,14.0033,-10.9967,19.0033
11.2000,3.8632,3.7182,0.7996,-6.2818,13.7182,-11.2818,18.7182
11.3000,3.8694,3.4329,0.8068,-6.5671,13.4329,-11.5671,18.4329
11.4000,3.8752,3.1474,0.8139,-6.8526,13.1474,-11.8526,18.1474
11.5000,3.8804,2.8618,0.8211,-7.1382,12.8618,-12.1382,17.8618
11.6000,3.8852,2.5760,0.8282,-7.4240,12.5760,-12.4240,17.5760
11.7000,3.8894,2.2901,0.8353,-7.7099,12.2901,-12.7099,17.2901
11.8000,3.8932,2.0041,0.8425,-7.9959,12.0041,-12.9959,17.0041
11.9000,3.8964,1.7180,0.8496,-8.2820,11.7180,-13.2820,16.7180
12.0000,3.8992,1.4318,0.8568,-8.5682,11.4318,-13.5682,16.4318
12.1000,3.9014,1.1455,0.8639,-8.8545,11.1455,-13.8545,16.1455
12.2000,3.9032,0.8592,0.8710,-9.1408,10.8592,-14.1408,15.8592
12.3000,3.9044,0.5728,0.8782,-9.4272,10.5728,-14.4272,15.5728
12.4000,3.9052,0.2864,0.8853,-9.7136,10.2864,-14.7136,15.2864
12.5000,3.9054,-0.0000,0.8925,-10.0000,10.0000,-15.0000,15.0000
12.6000,3.9052,-0.2864,0.8996,-10.2864,9.7136,-15.2864,14.7136
12.7000,3.9044,-0.5728,0.9067,-10.5728,9.4272,-15.5728,14.4272
12.8000,3.9032,-0.8592,0.9139,-10.8592,9.1408,-15.8592,14.1408
12.9000,3.9014,-1.1455,0.9210,-11.1455,8.8545,-16.1455,13.8545
13.0000,3.8992,-1.4318,0.9282,-11.4318,8.5682,-16.4318,13.5682
13.1000,3.8964,-1.7180,0.9353,-11.7180,8.2820,-16.7180,13.2820
13.2000,3.8932,-2.0041,0.9424,-12.0041,7.9959,-17.0041,12.9959
13.3000,3.8894,-2.2901,0.9496,-12.2901,7.7099,-17.2901,12.7099
13.4000,3.8852,-2.5760,0.9567,-12.5760,7.4240,-17.5760,12.4240
13.5000,3.8804,-2.8618,0.9639,-12.8618,7.1382,-17.8618,12.1382
13.6000,3.8752,-3.1474,0.9710,-13.1474,6.8526,-18.1474,11.8526
13.7000,3.8694,-3.4329,0.9781,-13.4329,6.5671,-18.4329,11.5671
13.8000,3.8632,-3.7182,0.9853,-13.7182,6.2818,-18.7182,11.2818
13.9000,3.8564,-4.0033,0.9924,-14.0033,5.9967,-19.0033,10.9967
14.0000,3.8492,-4.2883,0.9996,-14.2883,5.7117,-19.2883,10.7117
14.1000,3.8414,-4.5730,1.0067,-14.5730,5.4270,-19.5730,10.4270
14.2000,3.8332,-4.8575,1.0138,-14.8575,5.1425,-19.8575,10.1425
14.3000,3.8245,-5.1417,1.0210,-15.1417,4.8583,-20.1417,9.8583
14.4000,3.8152,-5.4257,1.0281,-15.4257,4.5743,-20.4257,9.5743
14.5000,3.8055,-5.7094,1.0353,-15.7094,4.2906,-20.7094,9.2906
14.6000,3.7952,-5.9928,1.0424,-15.9928,4.0072,-20.9928,9.0072
14.7000,3.7845,-6.2760,1.0495,-16.2760,3.7240,-21.2760,8.7240
14.8000,3.7732,-6.5588,1.0567,-16.5588,3.4412,-21.5588,8.4412
14.9000,3.7615,-6.8414,1.0638,-16.8414,3.1586,-21.8414,8.1586
15.0000,3.7492,-7.1235,1.0710,-17.1235,2.8765,-22.1235,7.8765
15.1000,3.7365,-7.4054,1.0781,-17.4054,2.5946,-22.4054,7.5946
15.2000,3.7232,-7.6869,1.0852,-17.6869,2.3131,-22.6869,7.3131
15.3000,3.7095,-7.9680,1.0924,-17.9680,2.0320,-22.9680,7.0320
15.4000,3.6952,-8.2487,1.0995,-18.2487,1.7513,-23.2487,6.7513
15.5000,3.6805,-8.5290,1.1067,-18.5290,1.4710,-23.5290,6.4710
15.6000,3.6652,-8.8089,1.1138,-18.8089,1.1911,-23.8089,6.1911
15.7000,3.6495,-9.0884,1.1209,-19.0884,0.9116,-24.0884,5.9116
15.8000,3.6332,-9.3675,1.1281,-19.3675,0.6325,-24.3675,5.6325
15.9000,3.6165,-9.6461,1.1352,-19.6461,0.3539,-24.6461,5.3539
16.0000,3.5992,-9.9242,1.1424,-19.9242,0.0758,-24.9242,5.0758
16.1000,3.5815,-10.2019,1.1495,-20.2019,-0.2019,-25.2019,4.7981
16.2000,3.5633,-10.4791,1.1566,-20.4791,-0.4791,-25.4791,4.5209
16.3000,3.5445,-10.7558,1.1638,-20.7558,-0.7558,-25.7558,4.2442
16.4000,3.5253,-11.0320,1.1709,-21.0320,-1.0320,-26.0320,3.9680
16.5000,3.5055,-11.3076,1.1780,-21.3076,-1.3076,-26.3076,3.6924
16.6000,3.4853,-11.5828,1.1852,-21.5828,-1.5828,-26.5828,3.4172
16.7000,3.4645,-11.8574,1.1923,-21.8574,-1.8574,-26.8574,3.1426
16.8000,3.4433,-12.1314,1.1995,-22.1314,-2.1314,-27.1314,2.8686
16.9000,3.4215,-12.4049,1.2066,-22.4049,-2.4049,-27.4049,2.5951
17.0000,3.3993,-12.6778,1.2137,-22.6778,-2.6778,-27.6778,2.3222
17.1000,3.3765,-12.9501,1.2209,-22.9501,-2.9501,-27.9501,2.0499
17.2000,3.3533,-13.2219,1.2280,-23.2219,-3.2219,-28.2219,1.7781
17.3000,3.3296,-13.4930,1.2352,-23.4930,-3.4930,-28.4930,1.5070
17.4000,3.3053,-13.7635,1.2423,-23.7635,-3.7635,-28.7635,1.2365
17.5000,3.2806,-14.0334,1.2494,-24.0334,-4.0334,-29.0334,0.9666
17.6000,3.2553,-14.3027,1.2566,-24.3027,-4.3027,-29.3027,0.6973
17.7000,3.2296,-14.5713,1.2637,-24.5713,-4.5713,-29.5713,0.4287
17.8000,3.2033,-14.8393,1.2709,-24.8393,-4.8393,-29.8393,0.1607
17.9000,3.1766,-15.1066,1.2780,-25.1066,-5.1066,-30.1066,-0.1066
18.0000,3.1493,-15.3732,1.2851,-25.3732,-5.3732,-30.3732,-0.3732
18.1000,3.1216,-15.6391,1.2923,-25.6391,-5.6391,-30.6391,-0.6391
18.2000,3.0934,-15.9044,1.2994,-25.9044,-5.9044,-30.9044,-0.9044
18.3000,3.0646,-16.1690,1.3066,-26.1690,-6.1690,-31.1690,-1.1690
18.4000,3.0354,-16.4328,1.3137,-26.4328,-6.4328,-31.4328,-1.4328
18.5000,3.0056,-16.6959,1.3208,-26.6959,-6.6959,-31.6959,-1.6959
18.6000,2.9754,-16.9584,1.3280,-26.9584,-6.9584,-31.9584,-1.9584
18.7000,2.9446,-17.2200,1.3351,-27.2200,-7.2200,-32.2200,-2.2200
18.8000,2.9134,-17.4810,1.3423,-27.4810,-7.4810,-32.4810,-2.4810
18.9000,2.8816,-17.7412,1.3494,-27.7412,-7.7412,-32.7412,-2.7412
19.0000,2.8494,-18.0006,1.3565,-28.0006,-8.0006,-33.0006,-3.0006
19.1000,2.8167,-18.2593,1.3637,-28.2593,-8.2593,-33.2593,-3.2593
19.2000,2.7834,-18.5172,1.3708,-28.5172,-8.5172,-33.5172,-3.5172
19.3000,2.7497,-18.7744,1.3780,-28.7744,-8.7744,-33.7744,-3.7744
19.4000,2.7154,-19.0307,1.3851,-29.0307,-9.0307,-34.0307,-4.0307
19.5000,2.6807,-19.2863,1.3922,-29.2863,-9.2863,-34.2863,-4.2863
19.6000,2.6454,-19.5411,1.3994,-29.5411,-9.5411,-34.5411,-4.5411
19.7000,2.6097,-19.7951,1.4065,-29.7951,-9.7951,-34.7951,-4.7951
19.8000,2.5735,-20.0482,1.4137,-30.0482,-10.0482,-35.0482,-5.0482
19.9000,2.5367,-20.3006,1.4208,-30.3006,-10.3006,-35.3006,-5.3006
20.0000,2.4995,-20.5521,1.4279,-30.5521,-10.5521,-35.5521,-5.5521
20.1000,2.4617,-20.8028,1.4351,-30.8028,-10.8028,-35.8028,-5.8028
20.2000,2.4235,-21.0527,1.4422,-31.0527,-11.0527,-36.0527,-6.0527
20.3000,2.3848,-21.3017,1.4494,-31.3017,-11.3017,-36.3017,-6.3017
20.4000,2.3455,-21.5499,1.4565,-31.5499,-11.5499,-36.5499,-6.5499
20.5000,2.3058,-21.7973,1.4636,-31.7973,-11.7973,-36.7973,-6.7973
20.6000,2.2655,-22.0438,1.4708,-32.0438,-12.0438,-37.0438,-7.0438
20.7000,2.2248,-22.2894,1.4779,-32.2894,-12.2894,-37.2894,-7.2894
20.8000,2.1835,-22.5342,1.4851,-32.5342,-12.5342,-37.5342,-7.5342
20.9000,2.1418,-22.7781,1.4922,-32.7781,-12.7781,-37.7781,-7.7781
21.0000,2.0996,-23.0212,1.4993,-33.0212,-13.0212,-38.0212,-8.0212
21.1000,2.0568,-23.2634,1.5065,-33.2634,-13.2634,-38.2634,-8.2634
