x_m,z_m,gamma_deg,time_s,alpha_deg,cd,segment_index
0.0000,0.0000,32.0000,0.0000,10.0000,0.3701,0
0.0833,0.0521,32.0499,0.0032,10.0000,0.3701,0
0.1667,0.1043,32.0994,0.0063,10.0000,0.3701,0
0.2500,0.1567,32.1483,0.0095,10.0000,0.3701,0
0.3333,0.2091,32.1968,0.0128,10.0000,0.3701,0
0.4167,0.2616,32.2447,0.0160,10.0000,0.3701,0
0.5000,0.3142,32.2921,0.0192,10.0000,0.3701,0
0.5833,0.3669,32.3389,0.0225,10.0000,0.3701,0
0.6667,0.4197,32.3852,0.0258,10.0000,0.3701,0
0.7500,0.4727,32.4310,0.0291,10.0000,0.3701,0
0.8333,0.5256,32.4762,0.0325,10.0000,0.3701,0
0.9167,0.5787,32.5209,0.0358,10.0000,0.3701,0
1.0000,0.6319,32.5649,0.0392,10.0000,0.3701,0
1.0833,0.6852,32.6084,0.0426,10.0000,0.3701,0
1.1667,0.7385,32.6513,0.0461,10.0000,0.3701,0
1.2500,0.7920,32.6936,0.0495,10.0000,0.3701,0
1.3333,0.8455,32.7353,0.0530,10.0000,0.3701,0
1.4167,0.8991,32.7763,0.0565,10.0000,0.3701,0
1.5000,0.9528,32.8168,0.0600,10.0000,0.3701,0
1.5833,1.0066,32.8566,0.0635,10.0000,0.3701,0
1.6667,1.0605,32.8957,0.0670,10.0000,0.3701,0
1.7500,1.1144,32.9342,0.0706,10.0000,0.3701,0
1.8333,1.1684,32.9720,0.0742,10.0000,0.3701,0
1.9167,1.2225,33.0091,0.0778,10.0000,0.3701,0
2.0000,1.2767,33.0455,0.0815,10.0000,0.3701,0
2.0833,1.3309,33.0813,0.0852,10.0000,0.3701,0
2.1667,1.3853,33.1163,0.0889,10.0000,0.3701,0
2.2500,1.4397,33.1506,0.0926,10.0000,0.3701,0
2.3333,1.4941,33.1841,0.0963,10.0000,0.3701,0
2.4167,1.5487,33.2169,0.1001,10.0000,0.3701,0
2.5000,1.6033,33.2490,0.1038,10.0000,0.3701,0
2.5833,1.6579,33.2802,0.1077,10.0000,0.3701,0
2.6667,1.7126,33.3107,0.1115,10.0000,0.3701,0
2.7500,1.7674,33.3404,0.1153,10.0000,0.3701,0
2.8333,1.8223,33.3693,0.1192,10.0000,0.3701,0
2.9167,1.8772,33.3974,0.1231,10.0000,0.3701,0
3.0000,1.9322,33.4246,0.1271,10.0000,0.3701,0
3.0833,1.9872,33.4510,0.1310,10.0000,0.3701,0
3.1667,2.0423,33.4765,0.1350,10.0000,0.3701,0
3.2500,2.0974,33.5011,0.1390,10.0000,0.3701,0
3.3333,2.1526,33.5249,0.1430,10.0000,0.3701,0
3.4167,2.2078,33.5478,0.1471,10.0000,0.3701,0
3.5000,2.2631,33.5697,0.1512,10.0000,0.3701,0
3.5833,2.3184,33.5907,0.1553,10.0000,0.3701,0
3.6667,2.3738,33.6108,0.1594,10.0000,0.3701,0
3.7500,2.4292,33.6298,0.1636,10.0000,0.3701,0
3.8333,2.4847,33.6480,0.1678,10.0000,0.3701,0
3.9167,2.5402,33.6651,0.1720,10.0000,0.3701,0
4.0000,2.5957,33.6812,0.1762,10.0000,0.3701,0
4.0833,2.6512,33.6963,0.1805,10.0000,0.3701,0
4.1667,2.7068,33.7103,0.1848,10.0000,0.3701,0
4.2500,2.7624,33.7233,0.1891,10.0000,0.3701,0
4.3333,2.8181,33.7352,0.1935,10.0000,0.3701,0
4.4167,2.8737,33.7461,0.1979,10.0000,0.3701,0
4.5000,2.9294,33.7558,0.2023,10.0000,0.3701,0
4.5833,2.9851,33.7643,0.2067,10.0000,0.3701,0
4.6667,3.0408,33.7718,0.2112,10.0000,0.3701,0
4.7500,3.0966,33.7780,0.2156,10.0000,0.3701,0
4.8333,3.1523,33.7831,0.2202,10.0000,0.3701,0
4.9167,3.2081,33.7870,0.2247,10.0000,0.3701,0
5.0000,3.2638,33.7897,0.2293,10.0000,0.3701,0
5.0833,3.3196,33.7911,0.2339,10.0000,0.3701,0
5.1667,3.3754,33.7912,0.2385,10.0000,0.3701,0
5.2500,3.4311,33.7901,0.2432,10.0000,0.3701,0
5.3333,3.4869,33.7876,0.2479,10.0000,0.3701,0
5.4167,3.5427,33.7839,0.2526,10.0000,0.3701,0
5.5000,3.5984,33.7787,0.2574,10.0000,0.3701,0
5.5833,3.6541,33.7723,0.2622,10.0000,0.3701,0
5.6667,3.7099,33.7644,0.2670,10.0000,0.3701,0
5.7500,3.7656,33.7551,0.2718,10.0000,0.3701,0
5.8333,3.8212,33.7443,0.2767,10.0000,0.3701,0
5.9167,3.8769,33.7321,0.2816,10.0000,0.3701,0
6.0000,3.9325,33.7161,0.2866,10.0000,0.3701,0
6.0833,3.9879,33.5036,0.2915,-10.0000,0.3701,1
6.1667,4.0429,33.2869,0.2965,-10.0000,0.3701,1
6.2500,4.0973,33.0689,0.3015,-10.0000,0.3701,1
6.3333,4.1514,32.8496,0.3066,-10.0000,0.3701,1
6.4167,4.2050,32.6289,0.3116,-10.0000,0.3701,1
6.5000,4.2581,32.4070,0.3167,-10.0000,0.3701,1
6.5833,4.3108,32.1836,0.3218,-10.0000,0.3701,1
6.6667,4.3630,31.9589,0.3269,-10.0000,0.3701,1
6.7500,4.4147,31.7328,0.3320,-10.0000,0.3701,1
