x_m,z_m,gamma_deg,time_s,alpha_deg,cd,segment_index
0.0000,0.0000,32.0000,0.0000,15.0000,0.4780,0
0.0833,0.0522,32.1187,0.0024,15.0000,0.4780,0
0.1667,0.1046,32.2372,0.0049,15.0000,0.4780,0
0.2500,0.1573,32.3555,0.0074,15.0000,0.4780,0
0.3333,0.2102,32.4736,0.0099,15.0000,0.4780,0
0.4167,0.2634,32.5914,0.0124,15.0000,0.4780,0
0.5000,0.3168,32.7090,0.0149,15.0000,0.4780,0
0.5833,0.3704,32.8264,0.0175,15.0000,0.4780,0
0.6667,0.4243,32.9435,0.0201,15.0000,0.4780,0
0.7500,0.4784,33.0604,0.0227,15.0000,0.4780,0
0.8333,0.5328,33.1770,0.0253,15.0000,0.4780,0
0.9167,0.5874,33.2934,0.0280,15.0000,0.4780,0
1.0000,0.6422,33.4094,0.0306,15.0000,0.4780,0
1.0833,0.6973,33.5252,0.0333,15.0000,0.4780,0
1.1667,0.7526,33.6408,0.0360,15.0000,0.4780,0
1.2500,0.8082,33.7560,0.0388,15.0000,0.4780,0
1.3333,0.8640,33.8709,0.0415,15.0000,0.4780,0
1.4167,0.9201,33.9855,0.0443,15.0000,0.4780,0
1.5000,0.9764,34.0998,0.0471,15.0000,0.4780,0
1.5833,1.0329,34.2138,0.0500,15.0000,0.4780,0
1.6667,1.0897,34.3275,0.0528,15.0000,0.4780,0
1.7500,1.1467,34.4408,0.0557,15.0000,0.4780,0
1.8333,1.2040,34.5537,0.0586,15.0000,0.4780,0
1.9167,1.2615,34.6663,0.0615,15.0000,0.4780,0
2.0000,1.3193,34.7786,0.0645,15.0000,0.4780,0
2.0833,1.3773,34.8904,0.0675,15.0000,0.4780,0
2.1667,1.4355,35.0019,0.0705,15.0000,0.4780,0
2.2500,1.4940,35.1130,0.0735,15.0000,0.4780,0
2.3333,1.5527,35.2236,0.0766,15.0000,0.4780,0
2.4167,1.6116,35.3339,0.0797,15.0000,0.4780,0
2.5000,1.6708,35.4437,0.0828,15.0000,0.4780,0
2.5833,1.7303,35.5530,0.0859,15.0000,0.4780,0
2.6667,1.7900,35.6620,0.0891,15.0000,0.4780,0
2.7500,1.8499,35.7704,0.0923,15.0000,0.4780,0
2.8333,1.9100,35.8784,0.0955,15.0000,0.4780,0
2.9167,1.9704,35.9859,0.0988,15.0000,0.4780,0
3.0000,2.0311,36.0929,0.1021,15.0000,0.4780,0
3.0833,2.0919,36.1994,0.1054,15.0000,0.4780,0
3.1667,2.1530,36.3054,0.1087,15.0000,0.4780,0
3.2500,2.2144,36.4109,0.1121,15.0000,0.4780,0
3.3333,2.2760,36.5157,0.1155,15.0000,0.4780,0
3.4167,2.3378,36.6201,0.1190,15.0000,0.4780,0
3.5000,2.3998,36.7238,0.1224,15.0000,0.4780,0
3.5833,2.4621,36.8270,0.1259,15.0000,0.4780,0
3.6667,2.5246,36.9295,0.1294,15.0000,0.4780,0
3.7500,2.5874,37.0315,0.1330,15.0000,0.4780,0
3.8333,2.6504,37.1327,0.1366,15.0000,0.4780,0
3.9167,2.7136,37.2334,0.1402,15.0000,0.4780,0
4.0000,2.7770,37.3333,0.1439,15.0000,0.4780,0
4.0833,2.8407,37.4326,0.1476,15.0000,0.4780,0
4.1667,2.9046,37.5312,0.1513,15.0000,0.4780,0
4.2500,2.9687,37.6290,0.1551,15.0000,0.4780,0
4.3333,3.0331,37.7262,0.1589,15.0000,0.4780,0
4.4167,3.0977,37.8225,0.1627,15.0000,0.4780,0
4.5000,3.1625,37.9181,0.1666,15.0000,0.4780,0
4.5833,3.2275,38.0128,0.1705,15.0000,0.4780,0
4.6667,3.2927,38.1068,0.1744,15.0000,0.4780,0
4.7500,3.3582,38.1999,0.1784,15.0000,0.4780,0
4.8333,3.4239,38.2922,0.1824,15.0000,0.4780,0
4.9167,3.4898,38.3835,0.1864,15.0000,0.4780,0
5.0000,3.5559,38.4740,0.1905,15.0000,0.4780,0
5.0833,3.6223,38.5635,0.1946,15.0000,0.4780,0
5.1667,3.6888,38.6521,0.1988,15.0000,0.4780,0
5.2500,3.7555,38.7397,0.2030,15.0000,0.4780,0
5.3333,3.8225,38.8264,0.2072,15.0000,0.4780,0
5.4167,3.8897,38.9119,0.2115,15.0000,0.4780,0
5.5000,3.9570,38.9965,0.2159,15.0000,0.4780,0
5.5833,4.0246,39.0799,0.2202,15.0000,0.4780,0
5.6667,4.0924,39.1623,0.2246,15.0000,0.4780,0
5.7500,4.1604,39.2435,0.2291,15.0000,0.4780,0
5.8333,4.2285,39.3235,0.2336,15.0000,0.4780,0
5.9167,4.2969,39.4024,0.2381,15.0000,0.4780,0
6.0000,4.3654,39.4700,0.2427,15.0000,0.4780,0
6.0833,4.4338,39.2265,0.2473,-15.0000,0.4780,1
6.1667,4.5015,38.9783,0.2519,-15.0000,0.4780,1
6.2500,4.5686,38.7292,0.2566,-15.0000,0.4780,1
6.3333,4.6352,38.4792,0.2612,-15.0000,0.4780,1
6.4167,4.7011,38.2282,0.2659,-15.0000,0.4780,1
6.5000,4.7665,37.9761,0.2707,-15.0000,0.4780,1
6.5833,4.8312,37.7231,0.2754,-15.0000,0.4780,1
6.6667,4.8954,37.4690,0.2802,-15.0000,0.4780,1
6.7500,4.9590,37.2138,0.2850,-15.0000,0.4780,1
